crim,zn,indus,chas,nox,rm,age,dis,tax,ptratio,lstat
0.03,0.0,7.1,False,0.47,6.4,45.0,5.5,280,17.5,8.5
0.12,25.0,5.2,False,0.43,6.8,30.0,6.2,310,16.0,5.2
5.6,0.0,18.1,True,0.68,5.9,88.0,2.1,666,20.2,22.0
0.45,12.5,8.9,False,0.52,6.1,60.0,4.3,350,18.5,12.0
0.08,90.0,2.5,False,0.4,7.2,15.0,8.9,260,15.0,3.5
12.3,0.0,18.1,False,0.74,5.5,95.0,1.9,666,20.2,25.5
0.02,80.0,1.5,False,0.41,7.5,20.0,7.8,245,14.5,4.0
1.8,0.0,19.6,True,0.61,6.3,75.0,2.8,403,19.0,18.0
0.15,20.0,6.1,False,0.45,6.6,40.0,5.0,300,17.0,9.5
3.2,0.0,18.1,False,0.7,5.8,92.0,1.7,666,20.2,24.0
