,crim,zn,indus,chas,nox,rm,age,dis,tax,ptratio,lstat,medv_predicho
0,0.03,0,7.1,false,0.47,6.4,45,5.5,280,17.5,8.5,22.760672725842994
1,0.12,25,5.2,false,0.43,6.8,30,6.2,310,16,5.2,29.041867673012504
2,5.6,0,18.1,true,0.68,5.9,88,2.1,666,20.2,22,16.413668670754397
3,0.45,12.5,8.9,false,0.52,6.1,60,4.3,350,18.5,12,20.58502210255807
4,0.08,90,2.5,false,0.4,7.2,15,8.9,260,15,3.5,37.34117855654434
5,12.3,0,18.1,false,0.74,5.5,95,1.9,666,20.2,25.5,10.301669222247318
6,0.02,80,1.5,false,0.41,7.5,20,7.8,245,14.5,4,44.59986562607409
7,1.8,0,19.6,true,0.61,6.3,75,2.8,403,19,18,18.765366064493882
8,0.15,20,6.1,false,0.45,6.6,40,5,300,17,9.5,24.315395212164237
9,3.2,0,18.1,false,0.7,5.8,92,1.7,666,20.2,24,13.693574169508636
